,NUTS_code,lat,lng
258,DE21,48.2375,11.9069
259,DE211,48.7583,11.37755
260,DE212,48.154849999999996,11.542000000000002
261,DE213,47.852199999999996,12.1029
262,DE214,48.1993,12.74645
263,DE215,47.713,12.89685
264,DE216,47.7369,11.4714
265,DE217,48.3277,11.34775
266,DE218,48.0847,11.9275
267,DE219,48.91195,11.3281
268,DE21A,48.2862,11.9944
269,DE21B,48.44645,11.75515
270,DE21C,48.185900000000004,11.22345
271,DE21D,47.5552,11.1462
272,DE21E,48.04025,10.953
273,DE21F,47.75875,11.82935
274,DE21G,48.27355,12.32525
275,DE21H,48.109899999999996,11.616599999999998
276,DE21I,48.648250000000004,11.211400000000001
277,DE21J,48.62715,11.5074
278,DE21K,47.86605,12.125250000000001
279,DE21L,47.96655,11.2828
280,DE21M,47.8956,12.6007
281,DE21N,47.78495,11.064
282,DE22,48.69015,12.7194
283,DE221,48.55065,12.151
284,DE222,48.5754,13.408100000000001
285,DE223,48.894999999999996,12.5731
286,DE224,48.777550000000005,13.01135
287,DE225,48.8468,13.517499999999998
288,DE226,48.802800000000005,11.866499999999998
289,DE227,48.546949999999995,12.19305
290,DE228,48.51775000000001,13.41005
291,DE229,49.0182,13.09245
292,DE22A,48.409,12.823799999999999
293,DE22B,48.9181,12.51335
294,DE22C,48.65045,12.648399999999999
295,DE23,49.41205,12.17845
296,DE231,49.438,11.84665
297,DE232,49.02045,12.1043
298,DE233,49.66125,12.1643
299,DE234,49.490849999999995,11.8132
300,DE235,49.254099999999994,12.74095
301,DE236,49.18715,11.56095
302,DE237,49.6989,12.11225
303,DE238,48.99425,12.0745
304,DE239,49.3457,12.289200000000001
305,DE23A,49.9083,12.1813
306,DE24,50.05805,11.3549
307,DE241,49.8853,10.8906
308,DE242,49.9337,11.5998
309,DE243,50.2731,10.97785
310,DE244,50.293000000000006,11.89015
311,DE245,49.9071,10.8477
312,DE246,49.86925,11.544
313,DE247,50.239149999999995,10.95675
314,DE248,49.73525,11.148
315,DE249,50.2638,11.850999999999999
316,DE24A,50.3382,11.3859
317,DE24B,50.100899999999996,11.4733
318,DE24C,50.10065,11.1135
319,DE24D,50.0994,12.02495
320,DE25,49.32575,10.8399
321,DE251,49.29875,10.55475
322,DE252,49.5848,10.9856
323,DE253,49.48665,10.96695
324,DE254,49.438050000000004,11.08305
325,DE255,49.335,11.0282
326,DE256,49.22995,10.5
327,DE257,49.631150000000005,10.93735
328,DE258,49.44715,10.8533
329,DE259,49.489850000000004,11.36225
330,DE25A,49.584199999999996,10.4497
331,DE25B,49.193200000000004,11.122399999999999
332,DE25C,49.030550000000005,10.92185
333,DE26,50.022149999999996,9.925329999999999
334,DE261,49.969350000000006,9.158940000000001
335,DE262,50.06125,10.21995
336,DE263,49.7678,9.94285
337,DE264,49.99079999999999,9.235465
338,DE265,50.23595,9.996625000000002
339,DE266,50.3781,10.272874999999999
340,DE267,50.053349999999995,10.5902
341,DE268,49.75675,10.29595
342,DE269,49.756150000000005,9.25379
343,DE26A,50.00435,9.71259
344,DE26B,50.0257,10.239105
345,DE26C,49.7185,9.91083
346,DE27,48.14335,10.43521
347,DE271,48.35835,10.861699999999999
348,DE272,47.879450000000006,10.60425
349,DE273,47.7335,10.305
350,DE274,47.9863,10.167300000000001
351,DE275,48.4066,11.091650000000001
352,DE276,48.3584,10.743
353,DE277,48.6018,10.52405
354,DE278,48.350300000000004,10.358
355,DE279,48.282849999999996,10.137255
356,DE27A,47.606,9.81801
357,DE27B,47.820499999999996,10.6406
358,DE27C,48.0249,10.40595
359,DE27D,48.8018,10.7164
360,DE27E,47.564099999999996,10.239705
361,DE3,52.521249999999995,13.415700000000001
362,DE30,52.521249999999995,13.415700000000001
363,DE300,52.521249999999995,13.415700000000001
364,DE4,52.459849999999996,13.01045
365,DE40,52.459849999999996,13.01045
366,DE401,52.408550000000005,12.5267
367,DE402,51.781800000000004,14.38765
368,DE403,52.331,14.4988
369,DE404,52.424350000000004,13.0297
370,DE405,52.798249999999996,13.77725
371,DE406,52.0575,13.92905
372,DE407,51.6168,13.470199999999998
373,DE408,52.62665,12.65375
374,DE409,52.6348,14.12525
375,DE40A,52.91565,13.19105
376,DE40B,51.6331,13.92805
377,DE40C,52.24995,14.2111
378,DE40D,53.00805,12.586749999999999
379,DE40E,52.2666,12.76445
380,DE40F,53.1306,11.8413
381,DE40G,51.7837,14.4206
382,DE40H,52.0958,13.2114
383,DE40I,53.25355,13.8413
384,DE5,53.5393,8.567665
385,DE50,53.5393,8.567665
386,DE501,53.11905,8.734760000000001
387,DE502,53.5393,8.567665
388,DE6,53.56815,10.0192
389,DE60,53.56815,10.0192
390,DE600,53.56815,10.0192
391,DE7,50.530649999999994,9.005
392,DE71,49.95445,8.75994
393,DE711,49.8799,8.67232
